Participant id,Age,Sex,Ethnicity simplified,Nationality,Student status
56d49a2f0b5634000adbe9db,47,Female,White,United Kingdom,DATA_EXPIRED
577a04dbadbc7500015d2475,30,Female,White,United Kingdom,DATA_EXPIRED
58895fdb2597a90001667a19,90,Female,White,United Kingdom,No
58c62eac444ade00010231a9,55,Male,White,Italy,No
5995ed90d1732a00013425c5,68,Female,White,United Kingdom,No
5b146e7bc85dc40001624518,41,Male,White,Mexico,No
5b4f76276d90520001127200,58,Female,White,Italy,No
5b5e0e86902ad10001cfcc59,38,Female,White,United Kingdom,No
5b5e5c186b2559000177ddec,45,Female,White,Portugal,No
5b7ee08c39836a0001665d70,45,Male,White,Poland,No
5bacd7c4a3eb9600018dd69e,28,Male,White,Poland,Yes
5bd3a8173043160001943d9b,54,Female,White,Australia,No
5bd9aa0a0556860001fcfcb8,25,Female,White,Netherlands,No
5c010b0befcd35000140e3dc,56,Male,White,United Kingdom,DATA_EXPIRED
5c18af2fa3ee6c00019c52b4,29,Male,White,Greece,No
5c272c88fbb7e600018a1d22,38,Male,White,New Zealand,No
5c2c6a46867f660001af7418,39,Male,White,Hungary,No
5c2d1ffb1a241f0001870c2f,43,Female,White,United Kingdom,No
5c33da29221fad0001cc605a,33,Female,White,United Kingdom,No
5c3cb421c0dc6500013f1be7,57,Female,White,United Kingdom,No
5c5476fdbb0c0c0001f79903,27,Male,White,Portugal,Yes
5c672065fe4e380001675f04,49,Male,White,Netherlands,No
5c6d2d18a2b39a00016916bd,50,Male,White,Portugal,No
5c85b40524efd80015b93de2,59,Female,White,United States,No
5c95493ddd325800166f838a,41,Female,White,United States,DATA_EXPIRED
5c965aaa95ff78000182c430,33,Female,White,United Kingdom,No
5ca0ab814a839d0001e78bde,23,Female,White,Poland,Yes
5cae09506d573900175d4727,24,Male,White,Portugal,No
5cc87a01dcedac0001911451,30,Female,White,Canada,No
5d20c6d5b1e50a001c19e622,59,Female,White,United Kingdom,No
5d21f63e4c6155001b9199e1,22,Female,White,Portugal,Yes
5d6b90dbf72f20001925cd38,25,Female,White,Poland,No
5d6fd7cf855c8c0018fbaa30,50,Male,White,United Kingdom,No
5d727dd6120f8e0001c4dbfc,68,Male,White,United Kingdom,No
5dde6f53fd5b28dcdc1a1641,30,Male,White,Italy,DATA_EXPIRED
5dfc82a1265c80974dd24384,23,Female,White,Italy,Yes
5e0b1a07de8da635317f521f,51,Male,White,United Kingdom,No
5e207c8250207f3829b18445,31,Female,Other,Portugal,No
5e33295b0d4362300d5e7e70,37,Female,White,United Kingdom,Yes
5e35c038b8f705571fb93d78,45,Female,White,United Kingdom,No
5e456d719fea8e03de5de050,27,Male,Black,South Africa,DATA_EXPIRED
5e5b7d7b1977823677ebc5ae,50,Female,White,United Kingdom,No
5e6d21739f3bf02e56c9b113,26,Female,White,Italy,Yes
5e822d17f956a29530ccc2f8,24,Female,White,Italy,Yes
5ebd841ddea21b08a0aa3057,23,Female,Asian,Canada,No
5ecc5a663823de80ecbe966a,51,Male,White,Canada,No
5ed68e74f3b2f80e538d3c93,46,Female,White,United Kingdom,No
5ef37e2ca184db0e6896d19b,67,Male,White,United Kingdom,No
5ef617101961c60b03996128,58,Female,White,United Kingdom,DATA_EXPIRED
5efa472b30809985f5f47e83,58,Female,White,United Kingdom,No
5f001a2d0b6653114dd57c63,35,Female,White,Ireland,Yes
5f02f29a4532c8191dd75812,22,Female,White,Italy,Yes
5f0ced1b6ccaed1a4827edb3,22,Female,White,Italy,Yes
5f0fac152f7b751b09b4c384,33,Male,White,Poland,No
5f23b9c67f5fe518618c87ff,41,Female,White,Poland,No
5f328592c528f6049d0df10e,21,Female,White,Albania,Yes
5f3fd67a80f4de08363fe683,33,Female,White,United Kingdom,DATA_EXPIRED
5f452661c5a1b50a817ab094,23,Male,White,Hungary,DATA_EXPIRED
5f45f6591d2bed2170be6c38,28,Female,Black,South Africa,No
5f4d3457e974b19a851f964e,34,Male,White,Portugal,No
5f53f35d364a0474790e88e7,24,Male,White,Poland,Yes
5f7b0056256971022889a48f,27,Female,White,Poland,No
5f7becc19ffec41eeb3afdd4,68,Male,White,New Zealand,No
5f86de2dc329e0030106fa1a,25,Female,White,United Kingdom,No
5ff0cfe8bbdf7f4b85bdf6bd,57,Male,White,Netherlands,No
60f736e0911f36e46e6e6d24,24,Female,White,Spain,Yes
60fd543ed6a1eabab523780b,19,Female,White,Poland,No
610709b068f44077072d27b5,21,Female,White,Slovenia,Yes
