Participant id,Group,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Pain question,Record video,Webcam,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
60459f654004876e609870e9,BASELINE,645117fa0706aac97fb92ba0,APPROVED,2023-05-02T14:02:34Z,2023-05-02T14:10:59.306000Z,2023-05-02 21:44:53,2023-05-02T14:10:59.913134Z,506,CKUN41EW,437,English,Yes,Yes,Yes,45,Male,White,United Kingdom,Ireland,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6298e97db2a191f24ebb9db1,BASELINE,645118855c65f7ab3c4bbc5c,APPROVED,2023-05-02T14:07:26.461000Z,2023-05-02T14:25:16.934000Z,2023-05-02 21:44:53,2023-05-02T14:25:17.346591Z,1071,CKUN41EW,524,English,Yes,Yes,Yes,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637fefef5c620e2f66047f28,BASELINE,6451199874454aa2ce94590f,APPROVED,2023-05-02T14:09:28.422000Z,2023-05-02T14:50:02.147000Z,2023-05-02 21:44:53,2023-05-02T14:50:02.553125Z,2434,CKUN41EW,218,"English, Lithuanian, Russian",Yes,Yes,Yes,29,Male,White,Lithuania,United Kingdom,Lithuania,Russian,No,Part-Time
5ea9890b7baf810a13bcdb56,BASELINE,645119b45749b4ffbe3e2da3,APPROVED,2023-05-02T14:10:06.076000Z,2023-05-02T14:17:54.504000Z,2023-05-02 21:44:54,2023-05-02T14:17:54.952568Z,469,CKUN41EW,511,English,Yes,Yes,Yes,20,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
62fce8f6702f3ef6c7cfb785,BASELINE,64511a2d7ad3ceaf8e8844ad,APPROVED,2023-05-02T14:12:01.229000Z,2023-05-02T14:18:04.726000Z,2023-05-02 21:44:54,2023-05-02T14:18:05.151882Z,364,CKUN41EW,140,English,Yes,Yes,Yes,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
598225db55a180000133825e,BASELINE,64511b202c53a04f8dcc74ca,APPROVED,2023-05-02T14:16:04.069000Z,2023-05-02T14:22:19.657000Z,2023-05-02 21:44:54,2023-05-02T14:22:20.652279Z,376,CKUN41EW,438,English,Yes,Yes,Yes,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61639cbb5ffec1a6b93b2334,BASELINE,64511b449ffa6f19dccc74ff,APPROVED,2023-05-02T14:16:43.789000Z,2023-05-02T14:23:43.901000Z,2023-05-02 21:44:54,2023-05-02T14:23:44.462632Z,421,CKUN41EW,1190,English,Yes,Yes,Yes,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
606f3f493aaf55785016c33c,BASELINE,64511b9d358094315fddc3b1,APPROVED,2023-05-02T14:18:16.193000Z,2023-05-02T14:26:17.478000Z,2023-05-02 21:44:55,2023-05-02T14:26:17.897315Z,482,CKUN41EW,293,"Polish, English",Yes,Yes,Yes,33,Male,White,Poland,United Kingdom,Poland,Polish,Yes,Part-Time
5fabf588f711fa0c6b0aebf6,BASELINE,64511c111a0e46dc3cb14919,APPROVED,2023-05-02T14:20:09.040000Z,2023-05-02T14:44:42.062000Z,2023-05-02 21:44:55,2023-05-02T14:44:42.477933Z,1474,CKUN41EW,1085,English,Yes,Yes,Yes,75,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5b98f31b9e2ffe0001c23910,BASELINE,64511c223f3bc6d3f329007b,APPROVED,2023-05-02T14:21:07.897000Z,2023-05-02T14:30:43.173000Z,2023-05-02 21:44:55,2023-05-02T14:30:43.969615Z,576,CKUN41EW,535,English,Yes,Yes,Yes,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63d4206b4544286074b28314,BASELINE,64511c833a087e4d1ec0864f,APPROVED,2023-05-02T14:21:59.028000Z,2023-05-02T14:29:07.558000Z,2023-05-02 21:44:55,2023-05-02T14:29:09.305830Z,429,CKUN41EW,132,English,Yes,Yes,Yes,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
597e0aa515837000016ae8db,BASELINE,64511cabba0812ee68e77c10,APPROVED,2023-05-02T14:22:35.222000Z,2023-05-02T14:30:02.068000Z,2023-05-02 21:44:55,2023-05-02T14:30:03.402392Z,447,CKUN41EW,1818,English,Yes,Yes,Yes,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5ca9ea8aa3478d0001a47bd5,BASELINE,64511cbf693a245b97b4c058,APPROVED,2023-05-02T14:23:05.855000Z,2023-05-02T14:31:05.085000Z,2023-05-02 21:44:55,2023-05-02T14:31:05.544306Z,480,CKUN41EW,734,English,Yes,Yes,Yes,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5ea4ae3d9b5ea646f32bf6ce,BASELINE,64511cdf1b9ae03ce040f534,APPROVED,2023-05-02T14:23:30.976000Z,2023-05-02T14:33:07.716000Z,2023-05-02 21:44:56,2023-05-02T14:33:08.177395Z,577,CKUN41EW,1049,English,Yes,Yes,Yes,63,Female,Other,South Africa,United Kingdom,United Kingdom,English,No,Other
612d0e38029a572bb4464229,BASELINE,64511cfa468961cddf67296a,APPROVED,2023-05-02T14:25:34.308000Z,2023-05-02T14:33:38.099000Z,2023-05-02 21:44:56,2023-05-02T14:33:38.653336Z,484,CKUN41EW,160,English,Yes,Yes,Yes,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5efc4644f6f5950008d892a2,BASELINE,64511d0737469207a4d6166c,APPROVED,2023-05-02T14:24:16.243000Z,2023-05-02T14:31:23.163000Z,2023-05-02 21:44:56,2023-05-02T14:31:23.578382Z,427,CKUN41EW,1418,"English, French, Portuguese, Spanish, Turkish",Yes,Yes,Yes,36,Male,White,Turkey,United Kingdom,United Kingdom,Turkish,No,Full-Time
5cc06e622413ca0017f2cdd8,BASELINE,64511d19946513da77511974,APPROVED,2023-05-02T14:24:30.550000Z,2023-05-02T14:30:50.553000Z,2023-05-02 21:44:56,2023-05-02T14:30:50.960294Z,381,CKUN41EW,911,English,Yes,Yes,Yes,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
5c87e674c558df0014565c72,BASELINE,64511d2629dc7a165b0be9db,APPROVED,2023-05-02T14:24:45.911000Z,2023-05-02T15:04:32.484000Z,2023-05-02 21:44:56,2023-05-02T15:04:32.843439Z,2387,CKUN41EW,780,English,Yes,Yes,Yes,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5f69c62d0bda08020d07c27e,BASELINE,64511d357a91dd57b5293fc0,APPROVED,2023-05-02T14:24:57.148000Z,2023-05-02T14:30:13.491000Z,2023-05-02 21:44:56,2023-05-02T14:30:17.192835Z,317,CKUN41EW,482,English,Yes,Yes,Yes,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
5a1323835d06850001b00673,BASELINE,64511d3e3c582cc30951193a,APPROVED,2023-05-02T14:25:04.783000Z,2023-05-02T14:32:14.738000Z,2023-05-02 21:44:57,2023-05-02T14:32:15.105814Z,430,CKUN41EW,772,"English, Polish",Yes,Yes,Yes,49,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
5ea9a41b87b4150bf9634637,BASELINE,64511d62dff518bfd052d714,APPROVED,2023-05-02T14:25:49.325000Z,2023-05-02T14:36:54.443000Z,2023-05-02 21:44:57,2023-05-02T14:36:54.867552Z,666,CKUN41EW,425,English,Yes,Yes,Yes,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
632b193a1ee829c3a710060c,BASELINE,64511e17d10757512fad06c3,APPROVED,2023-05-02T14:28:43.956000Z,2023-05-02T14:37:10.674000Z,2023-05-02 21:44:57,2023-05-02T14:37:11.112991Z,507,CKUN41EW,366,English,Yes,Yes,Yes,33,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6124a2f677a0a64964262351,BASELINE,64511e2d187c1a757768e9de,APPROVED,2023-05-02T14:34:22.927000Z,2023-05-02T14:45:02.230000Z,2023-05-02 21:44:57,2023-05-02T14:45:05.926649Z,640,CKUN41EW,479,English,Yes,Yes,Yes,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63d803cc0a95c3f6a2197aba,BASELINE,64511e33dd18e2bcf726791e,APPROVED,2023-05-02T14:29:12.633000Z,2023-05-02T14:36:30.484000Z,2023-05-02 21:44:57,2023-05-02T14:36:30.938373Z,438,CKUN41EW,162,English,Yes,Yes,Yes,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6108efa9c61dfcdda5ca4298,BASELINE,64511e367ab1c609c5adf7e0,APPROVED,2023-05-02T14:30:41.637000Z,2023-05-02T14:43:38.528000Z,2023-05-02 21:44:57,2023-05-02T14:43:38.956210Z,777,CKUN41EW,539,English,Yes,Yes,Yes,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5fde1acf0f62f44eb7affd64,BASELINE,64511e40e1d6cf794ea543f7,APPROVED,2023-05-02T14:29:28.411000Z,2023-05-02T14:42:31.973000Z,2023-05-02 21:44:58,2023-05-02T14:42:32.327469Z,784,CKUN41EW,843,"English, Punjabi",Yes,Yes,Yes,27,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5b5c474e6bf20e00013f6538,BASELINE,64511ec39cdc5591ef64ee24,APPROVED,2023-05-02T14:31:43.251000Z,2023-05-02T14:41:27.782000Z,2023-05-02 21:44:58,2023-05-02T14:41:28.775489Z,585,CKUN41EW,885,English,Yes,Yes,Yes,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63d1404712c3f98874867c5c,BASELINE,6451218271c7dc43a2d776a5,APPROVED,2023-05-02T14:43:19.859000Z,2023-05-02T15:06:08.068000Z,2023-05-02 21:44:58,2023-05-02T15:06:08.752205Z,1369,CKUN41EW,151,English,Yes,Yes,Yes,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
5e9f897c20320b000b1cc4cb,BASELINE,6451228a0df16b433eeca98c,APPROVED,2023-05-02T14:47:46.014000Z,2023-05-02T14:52:03.495000Z,2023-05-02 21:44:58,2023-05-02T14:52:04.054318Z,258,CKUN41EW,581,English,Yes,Yes,Yes,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
60735ba783112811b736c8da,BASELINE,645122df07ee63fc6c772996,APPROVED,2023-05-02T14:49:03.227000Z,2023-05-02T14:57:09.129000Z,2023-05-02 21:44:58,2023-05-02T14:57:09.638464Z,486,CKUN41EW,555,English,Yes,Yes,Yes,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
